"warehouse_code","location_id","owner","product_code","description","expiry_date","pallet_id","quantity_on_hand","age","balance_shelve_life_to_expire","product_group"
"TGIC",3011011,"KEG Asia Private Limited",67919345,"DOVE SHINY GOLD HAIR OIL 12X12X4X1ML","3/6/2024","UINT0000022351",12096,900,744,"HPC"
"TGIC",3011031,"KEG Asia Private Limited",67849530,"PONDS WB PERFECT SUPER CRM SPF15 4X3X50G","6/21/2023","UINT0000034494",3960,911,741,"HPC"
"TGIC",3011041,"KEG Asia Private Limited",68219334,"LUX SG DREAM DELIGHT ISYTK 2N1 24X250ML","6/23/2023","UINT0000036617",2304,1095,936,"HPC"
"TGIC",3011051,"KEG Asia Private Limited",67771883,"SUNSILK HC PERFECT STRAIGHT SPR4X3X320ML","4/30/2023","UINT0000001193",1932,730,364,"HPC"
"TGIC",3011061,"KEG Asia Private Limited",67469176,"CLEAR MEN CRT SHM SHWR FRESH 12X200ML","6/15/2023","UINT0000008494",3624,1095,584,"HPC"
"TGIC",3011071,"KEG Asia Private Limited",67919345,"DOVE SHINY GOLD HAIR OIL 12X12X4X1ML","3/6/2024","UINT0000022366",11088,900,716,"HPC"
"TGIC",3011081,"KEG Asia Private Limited",68289369,"DOVE DE INTENSE REPAIR CD 12X660ML","11/7/2023","UINT0000033764",456,900,744,"HPC"
"TGIC",3011081,"KEG Asia Private Limited",68289369,"DOVE DE INTENSE REPAIR CD 12X660ML","11/7/2023","UINT0000033763",468,912,389,"HPC"
"TGIC",3011091,"KEG Asia Private Limited",68289369,"DOVE DE INTENSE REPAIR CD 12X660ML","11/7/2023","UINT0000033762",924,900,744,"HPC"
"TGIC",3011101,"KEG Asia Private Limited",67485474,"SUNSILK SH PERFECT STRAIGHT OC 12X650ML","1/24/2024","UINT0000038593",264,730,299,"HPC"
"TGIC",3011111,"KEG Asia Private Limited",67577113,"SUNSILK SH HEALTHY&LONG SF 4X3X320ML","9/10/2023","SYS15860442",1932,900,571,"HPC"
